verb;tense;person;conjugation
[kennen];praeteritum_indikativ;1;[kannte]
[kennen];praeteritum_konjunktiv_2;1;[kennte]
[kennen];praeteritum_indikativ;2;[kanntest]
[kennen];praeteritum_konjunktiv_2;2;[kenntest]
[kennen];praeteritum_indikativ;3;[kannte]
[kennen];praeteritum_konjunktiv_2;3;[kennte]
[kennen];praeteritum_indikativ;4;[kannten]
[kennen];praeteritum_konjunktiv_2;4;[kennten]
[kennen];praeteritum_indikativ;5;[kanntet]
[kennen];praeteritum_konjunktiv_2;5;[kenntet]
[kennen];praeteritum_indikativ;6;[kannten]
[kennen];praeteritum_konjunktiv_2;6;[kennten]
[kennen];perfekt_indikativ;1;[habe gekannt]
[kennen];perfekt_konjunktiv_1;1;[habe gekannt]
[kennen];perfekt_indikativ;2;[hast gekannt]
[kennen];perfekt_konjunktiv_1;2;[habest gekannt]
[kennen];perfekt_indikativ;3;[hat gekannt]
[kennen];perfekt_konjunktiv_1;3;[habe gekannt]
[kennen];perfekt_indikativ;4;[haben gekannt]
[kennen];perfekt_konjunktiv_1;4;[haben gekannt]
[kennen];perfekt_indikativ;5;[habt gekannt]
[kennen];perfekt_konjunktiv_1;5;[habet gekannt]
[kennen];perfekt_indikativ;6;[haben gekannt]
[kennen];perfekt_konjunktiv_1;6;[haben gekannt]
[kennen];plusquamperfekt_indikativ;1;[hatte gekannt]
[kennen];plusquamperfekt_konjunktiv_2;1;[hätte gekannt]
[kennen];plusquamperfekt_indikativ;2;[hattest gekannt]
[kennen];plusquamperfekt_konjunktiv_2;2;[hättest gekannt]
[kennen];plusquamperfekt_indikativ;3;[hatte gekannt]
[kennen];plusquamperfekt_konjunktiv_2;3;[hätte gekannt]
[kennen];plusquamperfekt_indikativ;4;[hatten gekannt]
[kennen];plusquamperfekt_konjunktiv_2;4;[hätten gekannt]
[kennen];plusquamperfekt_indikativ;5;[hattet gekannt]
[kennen];plusquamperfekt_konjunktiv_2;5;[hättet gekannt]
[kennen];plusquamperfekt_indikativ;6;[hatten gekannt]
[kennen];plusquamperfekt_konjunktiv_2;6;[hätten gekannt]
[kennen];futur_1_indikativ;1;[werde kennen]
[kennen];futur_1_konjunktiv_1;1;[werde kennen]
[kennen];futur_1_konjunktiv_2;1;[würde kennen]
[kennen];futur_1_indikativ;2;[wirst kennen]
[kennen];futur_1_konjunktiv_1;2;[werdest kennen]
[kennen];futur_1_konjunktiv_2;2;[würdest kennen]
[kennen];futur_1_indikativ;3;[wird kennen]
[kennen];futur_1_konjunktiv_1;3;[werde kennen]
[kennen];futur_1_konjunktiv_2;3;[würde kennen]
[kennen];futur_1_indikativ;4;[werden kennen]
[kennen];futur_1_konjunktiv_1;4;[werden kennen]
[kennen];futur_1_konjunktiv_2;4;[würden kennen]
[kennen];futur_1_indikativ;5;[werdet kennen]
[kennen];futur_1_konjunktiv_1;5;[werdet kennen]
[kennen];futur_1_konjunktiv_2;5;[würdet kennen]
[kennen];futur_1_indikativ;6;[werden kennen]
[kennen];futur_1_konjunktiv_1;6;[werden kennen]
[kennen];futur_1_konjunktiv_2;6;[würden kennen]
[kennen];futur_2_indikativ;1;[werde gekannt haben]
[kennen];futur_2_konjunktiv_1;1;[werde gekannt haben]
[kennen];futur_2_konjunktiv_2;1;[würde gekannt haben]
[kennen];futur_2_indikativ;2;[wirst gekannt haben]
[kennen];futur_2_konjunktiv_1;2;[werdest gekannt haben]
[kennen];futur_2_konjunktiv_2;2;[würdest gekannt haben]
[kennen];futur_2_indikativ;3;[wird gekannt haben]
[kennen];futur_2_konjunktiv_1;3;[werde gekannt haben]
[kennen];futur_2_konjunktiv_2;3;[würde gekannt haben]
[kennen];futur_2_indikativ;4;[werden gekannt haben]
[kennen];futur_2_konjunktiv_1;4;[werden gekannt haben]
[kennen];futur_2_konjunktiv_2;4;[würden gekannt haben]
[kennen];futur_2_indikativ;5;[werdet gekannt haben]
[kennen];futur_2_konjunktiv_1;5;[werdet gekannt haben]
[kennen];futur_2_konjunktiv_2;5;[würdet gekannt haben]
[kennen];futur_2_indikativ;6;[werden gekannt haben]
[kennen];futur_2_konjunktiv_1;6;[werden gekannt haben]
[kennen];futur_2_konjunktiv_2;6;[würden gekannt haben]
[sein];imperativ;2;[sei]
[sein];imperativ;5;[seid]
[sein];imperativ;6;[seien Sie]
[sein];praesens_indikativ;1;[bin]
[sein];praesens_konjunktiv_1;1;[sei]
[sein];praesens_indikativ;2;[bist]
[sein];praesens_konjunktiv_1;2;"[seiest;seist]"
[sein];praesens_indikativ;3;[ist]
[sein];praesens_konjunktiv_1;3;[sei]
[sein];praesens_indikativ;4;[sind]
[sein];praesens_konjunktiv_1;4;[seien]
[sein];praesens_indikativ;5;[seid]
[sein];praesens_konjunktiv_1;5;[seiet]
[sein];praesens_indikativ;6;[sind]
[sein];praesens_konjunktiv_1;6;[seien]
[sein];praeteritum_indikativ;1;[war]
[sein];praeteritum_konjunktiv_2;1;[wäre]
[sein];praeteritum_indikativ;2;[warst]
[sein];praeteritum_konjunktiv_2;2;"[wärest;wärst]"
[sein];praeteritum_indikativ;3;[war]
[sein];praeteritum_konjunktiv_2;3;[wäre]
[sein];praeteritum_indikativ;4;[waren]
[sein];praeteritum_konjunktiv_2;4;[wären]
[sein];praeteritum_indikativ;5;[wart]
[sein];praeteritum_konjunktiv_2;5;"[wäret;wärt]"
[sein];praeteritum_indikativ;6;[waren]
[sein];praeteritum_konjunktiv_2;6;[wären]
[sein];perfekt_indikativ;1;[bin gewesen]
[sein];perfekt_konjunktiv_1;1;[sei gewesen]
[sein];perfekt_indikativ;2;[bist gewesen]
[sein];perfekt_konjunktiv_1;2;"[seist gewesen;seiest gewesen]"
[sein];perfekt_indikativ;3;[ist gewesen]
[sein];perfekt_konjunktiv_1;3;[sei gewesen]
[sein];perfekt_indikativ;4;[sind gewesen]
[sein];perfekt_konjunktiv_1;4;[seien gewesen]
[sein];perfekt_indikativ;5;[seid gewesen]
[sein];perfekt_konjunktiv_1;5;[seiet gewesen]
[sein];perfekt_indikativ;6;[sind gewesen]
[sein];perfekt_konjunktiv_1;6;[seien gewesen]
[sein];plusquamperfekt_indikativ;1;[war gewesen]
[sein];plusquamperfekt_konjunktiv_2;1;[wäre gewesen]
[sein];plusquamperfekt_indikativ;2;[warst gewesen]
[sein];plusquamperfekt_konjunktiv_2;2;"[wärst gewesen;wärest gewesen]"
[sein];plusquamperfekt_indikativ;3;[war gewesen]
[sein];plusquamperfekt_konjunktiv_2;3;[wäre gewesen]
[sein];plusquamperfekt_indikativ;4;[waren gewesen]
[sein];plusquamperfekt_konjunktiv_2;4;[wären gewesen]
[sein];plusquamperfekt_indikativ;5;[wart gewesen]
[sein];plusquamperfekt_konjunktiv_2;5;"[wärt gewesen;wäret gewesen]"
[sein];plusquamperfekt_indikativ;6;[waren gewesen]
[sein];plusquamperfekt_konjunktiv_2;6;[wären gewesen]
[sein];futur_1_indikativ;1;[werde sein]
[sein];futur_1_konjunktiv_1;1;[werde sein]
[sein];futur_1_konjunktiv_2;1;[würde sein]
[sein];futur_1_indikativ;2;[wirst sein]
[sein];futur_1_konjunktiv_1;2;[werdest sein]
[sein];futur_1_konjunktiv_2;2;[würdest sein]
[sein];futur_1_indikativ;3;[wird sein]
[sein];futur_1_konjunktiv_1;3;[werde sein]
[sein];futur_1_konjunktiv_2;3;[würde sein]
[sein];futur_1_indikativ;4;[werden sein]
[sein];futur_1_konjunktiv_1;4;[werden sein]
[sein];futur_1_konjunktiv_2;4;[würden sein]
[sein];futur_1_indikativ;5;[werdet sein]
[sein];futur_1_konjunktiv_1;5;[werdet sein]
[sein];futur_1_konjunktiv_2;5;[würdet sein]
[sein];futur_1_indikativ;6;[werden sein]
[sein];futur_1_konjunktiv_1;6;[werden sein]
[sein];futur_1_konjunktiv_2;6;[würden sein]
[sein];futur_2_indikativ;1;[werde gewesen sein]
[sein];futur_2_konjunktiv_1;1;[werde gewesen sein]
[sein];futur_2_konjunktiv_2;1;[würde gewesen sein]
[sein];futur_2_indikativ;2;[wirst gewesen sein]
[sein];futur_2_konjunktiv_1;2;[werdest gewesen sein]
[sein];futur_2_konjunktiv_2;2;[würdest gewesen sein]
[sein];futur_2_indikativ;3;[wird gewesen sein]
[sein];futur_2_konjunktiv_1;3;[werde gewesen sein]
[sein];futur_2_konjunktiv_2;3;[würde gewesen sein]
[sein];futur_2_indikativ;4;[werden gewesen sein]
[sein];futur_2_konjunktiv_1;4;[werden gewesen sein]
[sein];futur_2_konjunktiv_2;4;[würden gewesen sein]
[sein];futur_2_indikativ;5;[werdet gewesen sein]
[sein];futur_2_konjunktiv_1;5;[werdet gewesen sein]
[sein];futur_2_konjunktiv_2;5;[würdet gewesen sein]
[sein];futur_2_indikativ;6;[werden gewesen sein]
[sein];futur_2_konjunktiv_1;6;[werden gewesen sein]
[sein];futur_2_konjunktiv_2;6;[würden gewesen sein]
[kommen];imperativ;2;"[komm;komme]"
[kommen];imperativ;5;[kommt]
[kommen];imperativ;6;[kommen Sie]
[kommen];praesens_indikativ;1;[komme]
[kommen];praesens_konjunktiv_1;1;[komme]
[kommen];praesens_indikativ;2;[kommst]
[kommen];praesens_konjunktiv_1;2;[kommest]
[kommen];praesens_indikativ;3;[kommt]
[kommen];praesens_konjunktiv_1;3;[komme]
[kommen];praesens_indikativ;4;[kommen]
[kommen];praesens_konjunktiv_1;4;[kommen]
[kommen];praesens_indikativ;5;[kommt]
[kommen];praesens_konjunktiv_1;5;[kommet]
[kommen];praesens_indikativ;6;[kommen]
[kommen];praesens_konjunktiv_1;6;[kommen]
[kommen];praeteritum_indikativ;1;[kam]
[kommen];praeteritum_konjunktiv_2;1;[käme]
[kommen];praeteritum_indikativ;2;[kamst]
[kommen];praeteritum_konjunktiv_2;2;"[kämest;kämst]"
[kommen];praeteritum_indikativ;3;[kam]
[kommen];praeteritum_konjunktiv_2;3;[käme]
[kommen];praeteritum_indikativ;4;[kamen]
[kommen];praeteritum_konjunktiv_2;4;[kämen]
[kommen];praeteritum_indikativ;5;[kamt]
[kommen];praeteritum_konjunktiv_2;5;"[kämet;kämt]"
[kommen];praeteritum_indikativ;6;[kamen]
[kommen];praeteritum_konjunktiv_2;6;[kämen]
[kommen];perfekt_indikativ;1;[bin gekommen]
[kommen];perfekt_konjunktiv_1;1;[sei gekommen]
[kommen];perfekt_indikativ;2;[bist gekommen]
[kommen];perfekt_konjunktiv_1;2;"[seist gekommen;seiest gekommen]"
[kommen];perfekt_indikativ;3;[ist gekommen]
[kommen];perfekt_konjunktiv_1;3;[sei gekommen]
[kommen];perfekt_indikativ;4;[sind gekommen]
[kommen];perfekt_konjunktiv_1;4;[seien gekommen]
[kommen];perfekt_indikativ;5;[seid gekommen]
[kommen];perfekt_konjunktiv_1;5;[seiet gekommen]
[kommen];perfekt_indikativ;6;[sind gekommen]
[kommen];perfekt_konjunktiv_1;6;[seien gekommen]
[kommen];plusquamperfekt_indikativ;1;[war gekommen]
[kommen];plusquamperfekt_konjunktiv_2;1;[wäre gekommen]
